sample-id	treatment
water_washedSterile_antibiotic	water_washed_sterile_plant_grown_with_antibiotic
water_washed_sterile	water_washed_sterile_plant
water_washed	water_washed_plant
sterile_antibiotic	sterile_plant_grown_with_antibiotic
sterile	sterile_plant
